Nom Officiel Département,revenu_median_60_74,hopital_court_sejour,services_urgence,dispensaire,soins_domicile_personnes_agees,aide_menagere_personnes_agees,foyer_restaurant_personnes_agees,repas_domicile_personnes_agees,revenu_median_75_plus,access_med_generalistes,60_74_appart_ascenseur,60_74_appart_sans_ascenseur,60_74_menage_2ans,60_74_autre_logement,60_74_menage_30ans_plus,60_74_en_maison,60_74_isoles,60_74_menage_peu_diplome,60_74_menage_immigre,60_74_proprietaires,femmes_60_74_isolees,60_74_sans_voiture,femmes_75_plus_isolees,75_plus_appart_ascenseur,75_plus_autre_logement,75_plus_menage_30ans_plus,75_plus_en_maison,75_plus_menage_peu_diplome,75_plus_menage_immigre,75_plus_proprietaires,75_plus_sans_voiture
Côte-d'Or,638110.0,15,4,11,29,79,2,0,549890.0,2205.069693387,12088.0,12781.0,5408.0,254.0,35501.0,60789.0,21659.0,30187.0,6556.0,69245.0,14106.0,7212.0,15498.0,7854.0,146.0,26826.0,31309.0,28168.0,3015.0,37349.0,13198.0
Côtes-d'Armor,1814800.0,11,5,14,37,136,0,4,1488740.0,1122.541719383,2411.0,6657.0,9293.0,304.0,47603.0,106766.0,27400.0,40369.0,4259.0,100326.0,17073.0,5627.0,22760.0,3079.0,477.0,34410.0,58337.0,43360.0,1078.0,56476.0,14479.0
Deux-Sèvres,781180.0,7,5,6,16,52,1,16,623770.0,787.890157854,1011.0,2337.0,3914.0,145.0,31089.0,61321.0,13047.0,26826.0,3411.0,55531.0,8167.0,2800.0,11418.0,1403.0,746.0,21192.0,33880.0,27901.0,975.0,30812.0,8581.0
Dordogne,735790.0,13,4,3,21,74,3,12,652000.0,1543.930774675,1127.0,5044.0,7991.0,353.0,31313.0,81562.0,19638.0,33110.0,7749.0,74079.0,12056.0,4273.0,15457.0,1783.0,250.0,27626.0,47137.0,33656.0,2784.0,43620.0,11749.0
Doubs,1058400.0,9,2,31,20,54,4,10,820770.0,1963.596148947,9627.0,15613.0,5167.0,302.0,36707.0,57078.0,20205.0,31604.0,8456.0,64788.0,12908.0,6627.0,15053.0,6167.0,590.0,28104.0,30387.0,28866.0,3323.0,35648.0,12838.0
Drôme,1069890.0,13,6,18,29,68,13,2,953140.0,1072.09048287,6448.0,12782.0,7482.0,396.0,32063.0,67688.0,21311.0,32094.0,7657.0,68963.0,13633.0,5639.0,14684.0,5962.0,396.0,23924.0,32485.0,28987.0,3249.0,36364.0,11756.0
Essonne,2862940.0,25,12,25,19,75,0,1,2415050.0,601.352368963,22412.0,32178.0,7608.0,924.0,64177.0,106619.0,35711.0,53444.0,28519.0,125526.0,24250.0,16043.0,24056.0,12579.0,1081.0,48485.0,51943.0,41574.0,8829.0,64320.0,20774.0
Eure,1067380.0,9,8,19,17,78,0,1,877830.0,1711.671905175,2952.0,8267.0,6460.0,474.0,40183.0,83922.0,20725.0,41049.0,5205.0,76764.0,13296.0,6406.0,15073.0,3053.0,469.0,23704.0,37520.0,30463.0,1682.0,35715.0,11916.0
Eure-et-Loir,889610.0,8,5,11,11,21,1,3,742640.0,1000.46381154,3677.0,6677.0,4500.0,227.0,29701.0,59052.0,15410.0,28555.0,5769.0,55849.0,9765.0,5164.0,11810.0,3218.0,200.0,20256.0,30522.0,25092.0,1659.0,30223.0,9963.0
Finistère,2796310.0,23,13,36,29,201,1,2,2216680.0,1025.958663255,6753.0,14233.0,10886.0,338.0,70103.0,138350.0,41542.0,46540.0,4297.0,138451.0,26430.0,9091.0,32301.0,5450.0,367.0,53541.0,75008.0,54594.0,1162.0,77143.0,20313.0
Gard,1723180.0,14,5,29,26,49,19,23,1483770.0,1188.2740000000001,7738.0,21580.0,12479.0,613.0,43048.0,104564.0,32559.0,50526.0,14042.0,103536.0,20703.0,10173.0,21439.0,6428.0,416.0,34291.0,51087.0,42842.0,6267.0,53387.0,19683.0
Gers,264790.0,8,3,2,14,50,0,1,234100.0,1707.412175655,233.0,2719.0,3148.0,189.0,15464.0,35094.0,8683.0,13940.0,3339.0,31960.0,5092.0,1599.0,6233.0,199.0,105.0,14250.0,21763.0,15894.0,2056.0,19915.0,4509.0
Gironde,3201420.0,32,15,23,27,198,65,1,2325660.0,2169.258245198,20102.0,23584.0,20122.0,1018.0,88726.0,196338.0,58648.0,74782.0,16246.0,188791.0,38867.0,17580.0,41002.0,15437.0,694.0,66063.0,98554.0,69709.0,7031.0,98128.0,33079.0
Guadeloupe,0.0,9,4,8,16,10,0,0,0.0,101.32300000000001,711.0,7282.0,5056.0,287.0,18672.0,53812.0,18826.0,36022.0,2931.0,49175.0,11227.0,16497.0,8161.0,302.0,83.0,14553.0,26174.0,22765.0,545.0,25372.0,15430.0
Guyane,0.0,5,3,0,1,4,0,0,0.0,28.533,62.0,3577.0,2112.0,406.0,3058.0,12716.0,3993.0,9883.0,6798.0,10705.0,2172.0,6026.0,997.0,13.0,53.0,1610.0,3512.0,2985.0,1195.0,3182.0,2245.0
Haut-Rhin,1726270.0,15,8,36,27,19,10,0,1427840.0,1187.021,12801.0,24683.0,7069.0,404.0,56505.0,82263.0,25617.0,39267.0,17147.0,92085.0,16098.0,9599.0,19792.0,8138.0,199.0,41216.0,42195.0,33306.0,6314.0,48010.0,16935.0
Haute-Corse,343990.0,6,4,5,3,3,0,0,320090.0,437.326,4198.0,8179.0,3309.0,183.0,9474.0,18902.0,7210.0,13237.0,2599.0,22458.0,4236.0,3058.0,4803.0,2944.0,84.0,8400.0,10458.0,10993.0,932.0,13886.0,5499.0
Haute-Garonne,2766740.0,23,9,32,36,111,0,1,1917740.0,2237.008392598,19867.0,25564.0,13142.0,661.0,67641.0,132577.0,44005.0,52878.0,16955.0,141068.0,28754.0,14561.0,28769.0,12678.0,355.0,52906.0,68478.0,52785.0,10410.0,75161.0,25741.0
Haute-Loire,608040.0,6,3,7,12,66,0,0,484630.0,731.897360972,1393.0,4383.0,2807.0,79.0,17852.0,35654.0,9835.0,16605.0,1546.0,34726.0,5742.0,2561.0,7147.0,1532.0,46.0,12906.0,17988.0,15360.0,573.0,18111.0,6488.0
Haute-Marne,209160.0,13,3,6,12,54,1,4,196320.0,1272.839654427,1700.0,3007.0,1747.0,85.0,17050.0,28302.0,7826.0,15014.0,1611.0,26707.0,4854.0,2643.0,6571.0,1211.0,213.0,12867.0,16081.0,13348.0,797.0,15533.0,5810.0
Haute-Savoie,2354500.0,13,10,16,17,19,18,3,1587360.0,863.378152567,22805.0,21927.0,7252.0,384.0,42465.0,67453.0,28191.0,37362.0,15281.0,89140.0,18327.0,7272.0,17949.0,13929.0,549.0,30059.0,29407.0,30020.0,5908.0,43561.0,14369.0
Haute-Saône,336250.0,5,4,15,14,45,0,2,274130.0,1869.758155221,1025.0,4412.0,2623.0,168.0,20596.0,37636.0,9760.0,18733.0,2757.0,35781.0,5880.0,2719.0,7304.0,752.0,325.0,14075.0,19016.0,15465.0,1054.0,18405.0,6098.0
Haute-Vienne,665000.0,11,6,20,19,31,0,25,480560.0,693.048151327,6270.0,6804.0,4804.0,193.0,28941.0,55601.0,17016.0,25184.0,5121.0,55895.0,10772.0,5023.0,13794.0,5156.0,243.0,23539.0,31373.0,26316.0,1389.0,33176.0,11974.0
Hautes-Alpes,252430.0,6,3,6,10,24,3,0,186280.0,613.820514038,2746.0,5441.0,2294.0,93.0,8108.0,17585.0,6824.0,8006.0,1502.0,20377.0,3960.0,1616.0,4344.0,2248.0,80.0,7182.0,8822.0,8334.0,818.0,11291.0,3786.0
Hautes-Pyrénées,380610.0,6,6,2,14,30,0,1,350780.0,1784.974524252,2323.0,5882.0,3489.0,172.0,18928.0,36765.0,11820.0,14507.0,3251.0,36807.0,7305.0,2736.0,8703.0,2221.0,167.0,17179.0,22125.0,15696.0,2089.0,22896.0,6909.0
Hauts-de-Seine,1025990.0,35,13,76,36,61,0,1,1015060.0,119.105,106577.0,48221.0,11414.0,2020.0,60706.0,37448.0,58020.0,55388.0,45067.0,111185.0,39779.0,47272.0,40008.0,62657.0,1749.0,58969.0,20050.0,46252.0,15692.0,70112.0,44550.0
Hérault,2494360.0,29,17,25,39,66,0,5,2096680.0,1264.964239209,21526.0,34435.0,20244.0,724.0,50013.0,135078.0,49078.0,64403.0,20357.0,146646.0,31951.0,16262.0,30800.0,14165.0,334.0,44035.0,68791.0,57869.0,9709.0,79070.0,29123.0
Ille-et-Vilaine,2851990.0,22,8,24,25,324,1,0,1802560.0,1173.158040714,13657.0,16395.0,10589.0,339.0,61616.0,114884.0,34098.0,53441.0,4461.0,119451.0,22300.0,9167.0,26929.0,9997.0,1029.0,40625.0,58965.0,53176.0,1150.0,63619.0,21031.0
Indre,346520.0,5,5,5,15,12,0,1,319810.0,676.346098991,1457.0,2350.0,2913.0,125.0,19572.0,41021.0,10853.0,18225.0,1991.0,37110.0,6636.0,3042.0,9340.0,1033.0,198.0,16120.0,25089.0,19382.0,678.0,23118.0,7312.0
Indre-et-Loire,1241540.0,14,10,15,22,59,0,0,1042790.0,889.649280282,9885.0,9910.0,6561.0,339.0,40047.0,79475.0,23821.0,34953.0,6294.0,79238.0,15609.0,7387.0,18732.0,8805.0,680.0,30659.0,42404.0,36102.0,2442.0,45229.0,16093.0
Isère,3715610.0,19,12,43,36,94,36,16,2609250.0,1658.133271018,31270.0,29629.0,12352.0,682.0,74506.0,123650.0,43403.0,64323.0,23225.0,147473.0,27587.0,13407.0,31085.0,23118.0,1542.0,55394.0,56031.0,57334.0,11799.0,75678.0,28334.0
Jura,380490.0,8,5,11,14,51,5,43,333820.0,1689.165080823,2142.0,7354.0,2974.0,151.0,20373.0,36565.0,11288.0,16721.0,3065.0,37543.0,6870.0,2856.0,8801.0,2252.0,339.0,15979.0,19631.0,17029.0,1155.0,21184.0,7214.0
La Réunion,394290.0,13,4,1,4,12,1,0,332680.0,122.748,4318.0,13817.0,8368.0,458.0,32210.0,77240.0,22554.0,62529.0,2680.0,69377.0,13873.0,29046.0,8393.0,1611.0,122.0,17257.0,29827.0,28232.0,812.0,26549.0,19202.0
Landes,879520.0,7,8,9,17,245,10,2,776690.0,1226.334912299,2087.0,6067.0,7290.0,229.0,27596.0,69567.0,17073.0,26324.0,4379.0,63922.0,10720.0,3097.0,12434.0,2038.0,105.0,22228.0,37182.0,25281.0,2073.0,34396.0,8030.0
Loir-et-Cher,780370.0,6,3,11,17,6,0,0,673390.0,722.301093412,1454.0,4297.0,4074.0,189.0,25017.0,54421.0,13680.0,24042.0,3754.0,50492.0,8508.0,3358.0,11507.0,1820.0,326.0,19076.0,31390.0,24463.0,1309.0,30314.0,8530.0
Loire,1257410.0,17,10,36,41,33,36,0,1096390.0,917.650522554,22490.0,22489.0,8607.0,415.0,53559.0,81770.0,30822.0,49783.0,11999.0,95154.0,19574.0,11989.0,25669.0,20938.0,981.0,39816.0,37582.0,47756.0,5922.0,50877.0,25413.0
